Name,Directory,Image,size-average,too-big-(>500),too-small-(<20),#nuclei,all-negative,tissue-area,HEMO-HEMO-cells,HEMO-intensity,HEMO-area,HEMO-area/tissue-area,HEMO-particles,HEMO-cells,HEMO-particles/tissue-area,HEMO-cells/tissue-area,DAB-HEMO-cells,DAB-intensity,DAB-area,DAB-area/tissue-area,DAB-particles,DAB-cells,DAB-particles/tissue-area,DAB-cells/tissue-area
,Images,10929IBA1_0020_20190610.TIF,51.65,0,242,148,40,4700160.0,99,228.55971264808005,24510.552843677066,0.005214833717081348,1084,184,0.00023063044662309368,3.914760348583878e-05,108,188.93153786254084,1644.7191853804704,0.0003499283397544914,30,14,6.382761437908497e-06,2.9786220043572983e-06
,Images,10932IBA1_0027_20190610.TIF,48.61,0,227,154,59,4700160.0,79,229.34300023828976,22409.01001570615,0.004767712166331817,1033,165,0.00021977975217864922,3.510518790849673e-05,95,187.57252285028594,25610.627315210215,0.005448884147605659,500,246,0.00010637935729847495,5.233864379084967e-05
,Images,10933IBA1_0027_20190610.TIF,44.29,0,123,132,41,4700160.0,94,230.26326848447712,15094.439212339552,0.00321147348437916,656,146,0.00013956971677559914,3.106277233115469e-05,91,186.76187980834695,14344.878665559594,0.003051997945933669,268,183,5.7019335511982574e-05,3.893484477124183e-05
,Images,10938IBA1_0036_20190610.TIF,48.28,0,267,200,36,4700160.0,143,230.20253353077342,26822.404026499884,0.005706700203078168,1128,232,0.00023999183006535946,4.936002178649238e-05,164,186.37657930793844,4978.0680917698355,0.0010591273683810414,84,50,1.7871732026143792e-05,1.0637935729847495e-05
,Images,10950IBA1_0068_20190610.TIF,51.89,0,348,218,138,4700160.0,172,227.4323665577342,34865.73564924344,0.007417989100210087,1453,274,0.0003091384123093682,5.829588779956427e-05,80,191.24730541087962,10134.8597671501,0.002156279736679198,184,119,3.914760348583878e-05,2.5318287037037036e-05
,Images,10943IBA1_0055_20190610.TIF,42.41,0,486,255,189,4700160.0,181,227.6381340209695,36986.537484068904,0.007869208172502406,1546,331,0.00032892497276688454,7.042313453159042e-05,66,189.56199682563997,10658.704753594473,0.0022677323226431598,211,118,4.4892088779956426e-05,2.5105528322440088e-05
,Images,10947IBA1_0018_20190610.TIF,35.48,0,633,245,226,4700160.0,207,226.72958324822986,41168.82341260792,0.008759025950735277,1730,398,0.0003680725762527233,8.467796840958606e-05,19,192.4784366915169,3115.3369487956084,0.0006628150847621375,89,52,1.8935525599128542e-05,1.1063453159041395e-05
,Images,10948IBA1_0022_20190610.TIF,42.64,0,183,141,44,4700160.0,105,228.46815427559912,20053.248297254817,0.004266503331217409,899,162,0.00019127008442265794,3.446691176470588e-05,97,189.67128353077342,3707.7439996422504,0.000788854847418439,66,49,1.4042075163398692e-05,1.0425177015250545e-05
,Images,10952IBA1_0026_20190610.TIF,47.48,0,255,179,52,4700160.0,124,230.816981762323,28137.409014530094,0.005986478974020054,1267,218,0.0002695652913943355,4.638139978213508e-05,127,186.37587656590415,13930.424838049204,0.0029638192823327725,242,179,5.148760893246187e-05,3.808380991285403e-05
,Images,10957IBA1_0026_20190610.TIF,46.24,0,366,204,145,4700160.0,165,228.2023643875953,35422.70612747769,0.007536489423227655,1547,287,0.00032913773148148147,6.106175108932462e-05,59,190.80985391986655,9743.516747865195,0.0020730180989296525,190,112,4.042415577342048e-05,2.3828976034858387e-05
,Images,10942IBA1_0025_20190610.TIF_cut.tif,52.38,0,300,191,82,4700160.0,120,231.5436772365196,30829.81817279924,0.006559312485702453,1395,217,0.0002967984068627451,4.616864106753813e-05,109,194.41425121697984,13303.35157486432,0.002830403980899442,247,169,5.255140250544662e-05,3.5956222766884535e-05
,Images,10953IBA1_0020_20190610.TIF_cut.tif,37.17,0,64,67,12,4700160.0,52,235.60418687874454,8883.794681877083,0.0018901047372593875,440,70,9.361383442265795e-05,1.4893110021786493e-05,55,189.7290096507353,20619.463098779248,0.004386970464575514,345,240,7.340175653594771e-05,5.1062091503267975e-05
,Images,10956IBA1_0027_20190610.TIF,52.27,0,654,314,233,4700160.0,212,226.2428157764842,46638.38135930632,0.00992272206888836,1917,375,0.00040785845588235296,7.978451797385621e-05,81,192.8547049462146,4436.504819019265,0.0009439050625977126,87,60,1.851000816993464e-05,1.2765522875816994e-05
