Name,Directory,Image,size-average,too-big-(>500),too-small-(<20),#nuclei,all-negative,tissue-area,HEMO-HEMO-cells,HEMO-intensity,HEMO-area,HEMO-area/tissue-area,HEMO-particles,HEMO-cells,HEMO-particles/tissue-area,HEMO-cells/tissue-area,DAB-HEMO-cells,DAB-intensity,DAB-area,DAB-area/tissue-area,DAB-particles,DAB-cells,DAB-particles/tissue-area,DAB-cells/tissue-area
,Images,10929IBA1_0021_20190610.TIF,52.38,0,461,278,148,4700160.0,182,228.75594384020968,42241.93527454461,0.008987339851099667,1725,334,0.00036700878267973856,7.106141067538126e-05,130,188.42300219566994,19574.854566987255,0.004164720896094443,315,201,6.701899509803922e-05,4.2764501633986925e-05
,Images,10932IBA1_0026_20190610.TIF,54.64,0,509,266,119,4700160.0,150,229.40852311410674,43774.18185989446,0.009313338665044267,1897,300,0.00040360328159041396,6.382761437908497e-05,147,187.04679564099945,29720.49937797592,0.0063232952448376055,529,290,0.0001125493600217865,6.170002723311547e-05
,Images,10933IBA1_0026_20190610.TIF,45.76,0,227,157,54,4700160.0,111,229.9762042143246,22650.13278152535,0.00481901313604757,1013,189,0.00021552457788671025,4.021139705882353e-05,103,186.92055355562363,14836.368520488273,0.003156566695705736,282,182,5.9997957516339866e-05,3.872208605664488e-05
,Images,10938IBA1_0035_20190610.TIF,46.84,0,257,219,48,4700160.0,158,230.69970915883715,29195.113670983184,0.006211514857150221,1259,258,0.0002678632216775599,5.4891748366013073e-05,171,185.45260374114923,6806.903382680015,0.0014482280140846301,111,67,2.361621732026144e-05,1.4254833877995643e-05
,Images,10942IBA1_0024_20190610.TIF,44.46,0,646,262,155,4700160.0,175,229.19526484204792,47757.71483769404,0.010160870020955465,2152,336,0.00045785675381263615,7.148692810457517e-05,107,187.83010833673748,3969.666492864433,0.000844581140400419,76,42,1.616966230936819e-05,8.935866013071896e-06
,Images,10943IBA1_0054_20190610.TIF,39.12,0,363,140,97,4700160.0,106,228.24976426334422,27259.968662235806,0.005799795892530425,1251,197,0.0002661611519607843,4.1913466775599126e-05,43,189.32433576729304,10936.034452300306,0.002326736632859372,205,135,4.361553649237473e-05,2.8722426470588235e-05
,Images,10947IBA1_0017_20190610.TIF,35.9,0,201,67,52,4700160.0,52,226.5762735736656,15793.926341297629,0.003360295466813391,753,106,0.00016020731209150327,2.255242374727669e-05,15,192.9570033786084,3484.339520129213,0.0007413235975220445,89,54,1.8935525599128542e-05,1.1488970588235294e-05
,Images,10948IBA1_0021_20190610.TIF,43.34,0,196,100,35,4700160.0,68,228.21986294083607,21169.50033454584,0.004503995679837673,1033,136,0.00021977975217864922,2.8935185185185186e-05,65,189.9343490434368,10744.985104302948,0.002286089219154869,193,134,4.106243191721133e-05,2.8509667755991287e-05
,Images,10952IBA1_0025_20190610.TIF,43.07,0,310,162,60,4700160.0,122,230.40328861145153,28077.32091314387,0.005973694706806549,1315,206,0.0002797777096949891,4.3828295206971675e-05,102,186.85699486825982,11117.069116733286,0.002365253335361623,219,159,4.659415849673202e-05,3.3828635620915034e-05
,Images,10957IBA1_0025_20190610.TIF,44.33,0,555,372,268,4700160.0,301,228.53399777879903,54076.20980654216,0.011505184888714886,2132,496,0.00045360157952069715,0.00010552832244008715,104,189.74286875340414,13019.088633690844,0.0027699245629278246,250,172,5.3189678649237476e-05,3.659449891067538e-05
,Images,10953IBA1_0019_20190610.TIF,40.46,0,221,130,61,4700160.0,91,231.97614081222767,20460.768882297594,0.004353206887062908,917,163,0.00019509974128540305,3.467967047930283e-05,69,183.3152926708878,2975.901739168504,0.0006331490287923185,51,33,1.0850694444444445e-05,7.021037581699346e-06
,Images,10956IBA1_0026_20190610.TIF,47.09,0,646,308,248,4700160.0,188,226.51566627519063,45499.78887406395,0.009680476595278447,1907,370,0.00040573086873638343,7.872072440087146e-05,60,192.41787811478758,9864.463310911906,0.0020987505342183895,204,125,4.340277777777778e-05,2.6594839324618738e-05
,Images,10950IBA1_0067_20190610.TIF,46.92,0,458,325,161,4700160.0,229,230.47770948223038,44215.59829700117,0.009407253858805056,1779,399,0.00037849775326797387,8.4890727124183e-05,164,185.6481781471269,23183.222091259893,0.004932432532352067,380,227,8.084831154684096e-05,4.829622821350763e-05
